Save 0 - Episode 987/1400, Score: -85.0 (0.01), AVG Score: -109.27
Save 1 - Episode 988/1400, Score: -102.0 (0.01), AVG Score: -108.82
Save 2 - Episode 989/1400, Score: -105.0 (0.01), AVG Score: -108.3
Save 3 - Episode 990/1400, Score: -94.0 (0.01), AVG Score: -107.63
Save 4 - Episode 991/1400, Score: -107.0 (0.01), AVG Score: -107.08
Save 5 - Episode 992/1400, Score: -103.0 (0.01), AVG Score: -107.15
Save 6 - Episode 993/1400, Score: -88.0 (0.01), AVG Score: -106.98
Save 7 - Episode 994/1400, Score: -105.0 (0.01), AVG Score: -106.97
Save 8 - Episode 995/1400, Score: -106.0 (0.01), AVG Score: -107.16
Save 9 - Episode 996/1400, Score: -105.0 (0.01), AVG Score: -107.01
Save 10 - Episode 997/1400, Score: -105.0 (0.01), AVG Score: -106.85
Save 11 - Episode 998/1400, Score: -104.0 (0.01), AVG Score: -106.8
Save 12 - Episode 999/1400, Score: -87.0 (0.01), AVG Score: -106.57
Save 13 - Episode 1000/1400, Score: -106.0 (0.01), AVG Score: -106.52
Save 14 - Episode 1001/1400, Score: -104.0 (0.01), AVG Score: -106.44
Save 15 - Episode 1002/1400, Score: -98.0 (0.01), AVG Score: -106.32
Save 16 - Episode 1004/1400, Score: -108.0 (0.01), AVG Score: -106.56
Save 17 - Episode 1005/1400, Score: -85.0 (0.01), AVG Score: -106.29
Save 18 - Episode 1008/1400, Score: -107.0 (0.01), AVG Score: -106.27
Save 19 - Episode 1009/1400, Score: -106.0 (0.01), AVG Score: -106.23
Save 20 - Episode 1010/1400, Score: -86.0 (0.01), AVG Score: -106.01
Save 21 - Episode 1011/1400, Score: -96.0 (0.01), AVG Score: -105.89
Save 22 - Episode 1012/1400, Score: -83.0 (0.01), AVG Score: -105.16
Save 23 - Episode 1013/1400, Score: -105.0 (0.01), AVG Score: -105.1
Save 24 - Episode 1015/1400, Score: -106.0 (0.01), AVG Score: -105.02
Save 25 - Episode 1017/1400, Score: -105.0 (0.01), AVG Score: -104.97
Save 26 - Episode 1018/1400, Score: -103.0 (0.01), AVG Score: -104.93
Save 27 - Episode 1019/1400, Score: -101.0 (0.01), AVG Score: -104.83
