Save 0 - Episode 956/1500, Score: -106.0 (0.01), AVG Score: -109.87
Save 1 - Episode 1288/1500, Score: -89.0 (0.01), AVG Score: -109.69
Save 2 - Episode 1290/1500, Score: -88.0 (0.01), AVG Score: -109.62
Save 3 - Episode 1292/1500, Score: -107.0 (0.01), AVG Score: -109.97
Save 4 - Episode 1293/1500, Score: -106.0 (0.01), AVG Score: -109.96
Save 5 - Episode 1295/1500, Score: -106.0 (0.01), AVG Score: -110.0
Save 6 - Episode 1296/1500, Score: -107.0 (0.01), AVG Score: -109.94
Save 7 - Episode 1306/1500, Score: -87.0 (0.01), AVG Score: -109.97
Save 8 - Episode 1317/1500, Score: -92.0 (0.01), AVG Score: -109.93
Save 9 - Episode 1319/1500, Score: -90.0 (0.01), AVG Score: -109.86
Save 10 - Episode 1321/1500, Score: -105.0 (0.01), AVG Score: -109.69
Save 11 - Episode 1322/1500, Score: -106.0 (0.01), AVG Score: -109.59
Save 12 - Episode 1323/1500, Score: -104.0 (0.01), AVG Score: -108.98
Save 13 - Episode 1324/1500, Score: -98.0 (0.01), AVG Score: -108.81
Save 14 - Episode 1325/1500, Score: -108.0 (0.01), AVG Score: -108.97
Save 15 - Episode 1327/1500, Score: -108.0 (0.01), AVG Score: -109.18
Save 16 - Episode 1330/1500, Score: -97.0 (0.01), AVG Score: -108.73
Save 17 - Episode 1332/1500, Score: -89.0 (0.01), AVG Score: -108.57
Save 18 - Episode 1336/1500, Score: -105.0 (0.01), AVG Score: -108.84
Save 19 - Episode 1337/1500, Score: -107.0 (0.01), AVG Score: -108.86
Save 20 - Episode 1338/1500, Score: -86.0 (0.01), AVG Score: -108.77
Save 21 - Episode 1339/1500, Score: -108.0 (0.01), AVG Score: -108.94
Save 22 - Episode 1342/1500, Score: -107.0 (0.01), AVG Score: -109.21
Save 23 - Episode 1343/1500, Score: -106.0 (0.01), AVG Score: -109.12
Save 24 - Episode 1347/1500, Score: -103.0 (0.01), AVG Score: -109.56
Save 25 - Episode 1348/1500, Score: -108.0 (0.01), AVG Score: -109.53
Save 26 - Episode 1349/1500, Score: -94.0 (0.01), AVG Score: -109.44
Save 27 - Episode 1352/1500, Score: -93.0 (0.01), AVG Score: -109.96
Save 28 - Episode 1397/1500, Score: -105.0 (0.01), AVG Score: -109.94
Save 29 - Episode 1398/1500, Score: -87.0 (0.01), AVG Score: -109.51
Save 30 - Episode 1399/1500, Score: -107.0 (0.01), AVG Score: -109.49
Save 31 - Episode 1402/1500, Score: -106.0 (0.01), AVG Score: -109.44
Save 32 - Episode 1406/1500, Score: -108.0 (0.01), AVG Score: -109.93
