Save 0 - Episode 855/1250, Score: -85.0 (0.01), AVG Score: -109.96
Save 1 - Episode 857/1250, Score: -88.0 (0.01), AVG Score: -108.68
Save 2 - Episode 860/1250, Score: -97.0 (0.01), AVG Score: -108.29
Save 3 - Episode 861/1250, Score: -83.0 (0.01), AVG Score: -107.8
Save 4 - Episode 862/1250, Score: -107.0 (0.01), AVG Score: -108.0
Save 5 - Episode 863/1250, Score: -105.0 (0.01), AVG Score: -107.86
Save 6 - Episode 865/1250, Score: -105.0 (0.01), AVG Score: -107.93
Save 7 - Episode 869/1250, Score: -91.0 (0.01), AVG Score: -107.89
Save 8 - Episode 874/1250, Score: -106.0 (0.01), AVG Score: -106.98
Save 9 - Episode 876/1250, Score: -104.0 (0.01), AVG Score: -106.45
Save 10 - Episode 877/1250, Score: -105.0 (0.01), AVG Score: -106.44
Save 11 - Episode 879/1250, Score: -108.0 (0.01), AVG Score: -106.41
Save 12 - Episode 880/1250, Score: -88.0 (0.01), AVG Score: -106.44
Save 13 - Episode 881/1250, Score: -83.0 (0.01), AVG Score: -106.39
Save 14 - Episode 883/1250, Score: -107.0 (0.01), AVG Score: -106.69
Save 15 - Episode 888/1250, Score: -108.0 (0.01), AVG Score: -107.31
Save 16 - Episode 891/1250, Score: -102.0 (0.01), AVG Score: -106.9
Save 17 - Episode 893/1250, Score: -108.0 (0.01), AVG Score: -107.17
Save 18 - Episode 894/1250, Score: -101.0 (0.01), AVG Score: -107.11
Save 19 - Episode 896/1250, Score: -108.0 (0.01), AVG Score: -107.36
Save 20 - Episode 898/1250, Score: -106.0 (0.01), AVG Score: -107.37
Save 21 - Episode 899/1250, Score: -106.0 (0.01), AVG Score: -107.47
Save 22 - Episode 900/1250, Score: -108.0 (0.01), AVG Score: -107.2
Save 23 - Episode 901/1250, Score: -105.0 (0.01), AVG Score: -107.17
Save 24 - Episode 902/1250, Score: -105.0 (0.01), AVG Score: -107.09
Save 25 - Episode 903/1250, Score: -98.0 (0.01), AVG Score: -106.88
Save 26 - Episode 904/1250, Score: -104.0 (0.01), AVG Score: -106.67
Save 27 - Episode 905/1250, Score: -108.0 (0.01), AVG Score: -106.64
Save 28 - Episode 906/1250, Score: -103.0 (0.01), AVG Score: -106.56
Save 29 - Episode 907/1250, Score: -104.0 (0.01), AVG Score: -106.41
Save 30 - Episode 908/1250, Score: -108.0 (0.01), AVG Score: -106.39
Save 31 - Episode 909/1250, Score: -107.0 (0.01), AVG Score: -106.35
Save 32 - Episode 910/1250, Score: -108.0 (0.01), AVG Score: -106.34
Save 33 - Episode 911/1250, Score: -108.0 (0.01), AVG Score: -106.27
Save 34 - Episode 912/1250, Score: -95.0 (0.01), AVG Score: -106.05
Save 35 - Episode 913/1250, Score: -88.0 (0.01), AVG Score: -105.83
Save 36 - Episode 914/1250, Score: -104.0 (0.01), AVG Score: -105.45
Save 37 - Episode 915/1250, Score: -90.0 (0.01), AVG Score: -105.27
Save 38 - Episode 916/1250, Score: -107.0 (0.01), AVG Score: -105.22
Save 39 - Episode 917/1250, Score: -103.0 (0.01), AVG Score: -105.15
Save 40 - Episode 919/1250, Score: -105.0 (0.01), AVG Score: -104.84
Save 41 - Episode 922/1250, Score: -92.0 (0.01), AVG Score: -104.82
Save 42 - Episode 923/1250, Score: -86.0 (0.01), AVG Score: -104.54
Save 43 - Episode 924/1250, Score: -92.0 (0.01), AVG Score: -104.36
Save 44 - Episode 925/1250, Score: -108.0 (0.01), AVG Score: -104.28
Save 45 - Episode 927/1250, Score: -84.0 (0.01), AVG Score: -104.02
Save 46 - Episode 928/1250, Score: -106.0 (0.01), AVG Score: -104.02
Save 47 - Episode 929/1250, Score: -104.0 (0.01), AVG Score: -104.23
Save 48 - Episode 930/1250, Score: -84.0 (0.01), AVG Score: -104.11
Save 49 - Episode 931/1250, Score: -101.0 (0.01), AVG Score: -104.27
Save 50 - Episode 932/1250, Score: -108.0 (0.01), AVG Score: -104.26
Save 51 - Episode 933/1250, Score: -105.0 (0.01), AVG Score: -104.22
Save 52 - Episode 934/1250, Score: -106.0 (0.01), AVG Score: -104.37
Save 53 - Episode 935/1250, Score: -104.0 (0.01), AVG Score: -104.29
Save 54 - Episode 937/1250, Score: -87.0 (0.01), AVG Score: -104.55
Save 55 - Episode 938/1250, Score: -102.0 (0.01), AVG Score: -104.49
Save 56 - Episode 939/1250, Score: -108.0 (0.01), AVG Score: -104.69
Save 57 - Episode 940/1250, Score: -93.0 (0.01), AVG Score: -104.6
Save 58 - Episode 943/1250, Score: -107.0 (0.01), AVG Score: -104.87
Save 59 - Episode 944/1250, Score: -104.0 (0.01), AVG Score: -104.6
Save 60 - Episode 945/1250, Score: -96.0 (0.01), AVG Score: -104.54
Save 61 - Episode 947/1250, Score: -87.0 (0.01), AVG Score: -104.34
Save 62 - Episode 948/1250, Score: -108.0 (0.01), AVG Score: -104.26
Save 63 - Episode 950/1250, Score: -88.0 (0.01), AVG Score: -104.31
Save 64 - Episode 952/1250, Score: -106.0 (0.01), AVG Score: -104.58
Save 65 - Episode 954/1250, Score: -88.0 (0.01), AVG Score: -104.42
Save 66 - Episode 955/1250, Score: -90.0 (0.01), AVG Score: -104.47
Save 67 - Episode 956/1250, Score: -106.0 (0.01), AVG Score: -104.43
Save 68 - Episode 957/1250, Score: -106.0 (0.01), AVG Score: -104.61
Save 69 - Episode 959/1250, Score: -107.0 (0.01), AVG Score: -104.58
Save 70 - Episode 960/1250, Score: -102.0 (0.01), AVG Score: -104.63
Save 71 - Episode 961/1250, Score: -106.0 (0.01), AVG Score: -104.86
Save 72 - Episode 963/1250, Score: -106.0 (0.01), AVG Score: -104.93
Save 73 - Episode 964/1250, Score: -103.0 (0.01), AVG Score: -104.83
Save 74 - Episode 965/1250, Score: -107.0 (0.01), AVG Score: -104.85
Save 75 - Episode 966/1250, Score: -105.0 (0.01), AVG Score: -104.8
Save 76 - Episode 967/1250, Score: -86.0 (0.01), AVG Score: -104.19
Save 77 - Episode 968/1250, Score: -104.0 (0.01), AVG Score: -104.11
Save 78 - Episode 969/1250, Score: -107.0 (0.01), AVG Score: -104.27
Save 79 - Episode 971/1250, Score: -103.0 (0.01), AVG Score: -104.18
Save 80 - Episode 972/1250, Score: -106.0 (0.01), AVG Score: -104.13
Save 81 - Episode 973/1250, Score: -96.0 (0.01), AVG Score: -103.99
Save 82 - Episode 974/1250, Score: -90.0 (0.01), AVG Score: -103.83
Save 83 - Episode 975/1250, Score: -90.0 (0.01), AVG Score: -103.62
Save 84 - Episode 976/1250, Score: -105.0 (0.01), AVG Score: -103.63
Save 85 - Episode 977/1250, Score: -102.0 (0.01), AVG Score: -103.6
Save 86 - Episode 978/1250, Score: -85.0 (0.01), AVG Score: -103.28
Save 87 - Episode 979/1250, Score: -106.0 (0.01), AVG Score: -103.26
Save 88 - Episode 980/1250, Score: -99.0 (0.01), AVG Score: -103.37
Save 89 - Episode 982/1250, Score: -106.0 (0.01), AVG Score: -103.6
Save 90 - Episode 983/1250, Score: -106.0 (0.01), AVG Score: -103.59
Save 91 - Episode 984/1250, Score: -87.0 (0.01), AVG Score: -103.37
Save 92 - Episode 985/1250, Score: -99.0 (0.01), AVG Score: -102.98
Save 93 - Episode 986/1250, Score: -83.0 (0.01), AVG Score: -102.72
Save 94 - Episode 988/1250, Score: -108.0 (0.01), AVG Score: -102.73
Save 95 - Episode 990/1250, Score: -87.0 (0.01), AVG Score: -102.47
Save 96 - Episode 996/1250, Score: -86.0 (0.01), AVG Score: -102.57
Save 97 - Episode 1003/1250, Score: -86.0 (0.01), AVG Score: -102.73
Save 98 - Episode 1004/1250, Score: -108.0 (0.01), AVG Score: -102.77
Save 99 - Episode 1005/1250, Score: -107.0 (0.01), AVG Score: -102.76
Save 100 - Episode 1010/1250, Score: -105.0 (0.01), AVG Score: -102.96
